Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OZ,Belpointe PREP LLC Class A Units,$84.065,0.2885,0.344%,304605324.00,,,4093,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$21.20,0.17,0.808%,,United States,,639,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$18.4203,-0.1585,-0.853%,,United States,,978,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$16.68,-0.12,-0.714%,,United States,,200,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$16.60,-0.15,-0.896%,,United States,,1371,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$16.803,0.203,1.223%,,United States,,3021,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.15,-0.0416,-0.257%,,United States,,878,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$15.75,0.10,0.639%,,United States,,100,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.45,0.00,0.00%,,United States,,1,,
PED,Pedevco Corp. Common Stock,$0.9002,-0.0025,-0.277%,78353648.00,United States,,53564,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.427,0.009,2.153%,19633345.00,,2019,90742,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.5699,0.0099,1.768%,41079492.00,China,,417586,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.26,-0.03,-2.326%,126317495.00,Canada,,216088,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.08,0.00,0.00%,404425838.00,Canada,,146192,Basic Materials,Metal Mining
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.66,-0.06,-3.488%,108588762.00,Israel,,503526,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.24,0.0501,0.199%,,United States,,12402,,
POL,Polished Inc. Common Stock,$0.229,0.024,11.707%,24133593.00,United States,2020,38177467,Consumer Discretionary,Home Furnishings
PRK,Park National Corporation Common Stock,$109.97,-0.58,-0.525%,1776392147.00,United States,1994,19387,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$1.9699,-0.0301,-1.505%,22700115.00,United States,1999,26431,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$1.61,0.01,0.625%,5457354.00,United States,1998,7364,Real Estate,Real Estate Investment Trusts
PZG,Paramount Gold Nevada Corp. Common Stock,$0.31,0.0001,0.032%,15475944.00,United States,2015,30496,Basic Materials,Metal Mining
QFTA,Quantum FinTech Acquisition Corporation Common Stock,$10.5803,-0.0196,-0.185%,0.00,,2021,1892,Finance,Blank Checks
RCG,RENN Fund Inc Common Stock,$1.85,0.00,0.00%,0.00,United States,,10425,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$2.11,-0.15,-6.637%,411752108.00,United States,,4662179,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$37.51,0.65,1.763%,757034510.00,United States,1999,58281,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.14,-0.04,-1.258%,5912708.00,,2017,2364,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.64,0.09,16.364%,,,,107,,
RLGT,Radiant Logistics Inc. Common Stock,$7.41,0.04,0.543%,352566555.00,United States,,173751,Consumer Discretionary,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$0.6281,-0.0094,-1.475%,3371436.00,,2018,35438,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$1.15,0.01,0.877%,34427733.00,United States,2001,21370,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.10,0.08,0.333%,1054537048.00,United States,2019,6680,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.48,-0.25,-6.702%,152273400.00,United States,2017,749986,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$20.5606,0.0606,0.296%,,United States,,5549,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.3217,0.0007,0.218%,25952399226.00,,2022,123938,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.7991,-0.0554,-6.483%,34030089.00,,2021,560405,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$24.82,0.00,0.00%,1086041890.00,United States,2019,63,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$24.2526,0.0226,0.093%,1061214324.00,United States,2020,1397,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$21.60,0.00,0.00%,945145238.00,United States,,999,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$21.29,0.09,0.425%,931580654.00,United States,2022,5558,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$21.67,-0.23,-1.05%,948208209.00,United States,2022,6929,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.50,-0.02,-0.085%,1028283014.00,United States,2022,4389,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.25,-0.04,-3.101%,36556350.00,,2014,112770,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3628.03,-74.03,-2.00%,4211341035.00,United States,1996,853,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.8501,0.0151,1.808%,407938928.00,United States,,2182154,Industrials,Industrial Machinery/Components
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$2.45,0.04,1.66%,0.00,,2023,2416,,
SIF,SIFCO Industries Inc. Common Stock,$2.531,0.121,5.021%,15368607.00,United States,1969,3194,Industrials,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$4.60,0.16,3.604%,677262600.00,Canada,2018,1798107,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$31.52,0.00,0.00%,4855507730.00,Mexico,1998,180,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$4.46,-0.015,-0.335%,254912665.00,,2022,10179,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$4.54,-0.02,-0.439%,784294988.00,Canada,2021,495151,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$8.20,0.14,1.737%,248517695.00,United States,,15508,Industrials,Military/Government/Technical
SNMP,Evolve Transition Infrastructure LP Common Units representing Class B Limited Liability Company Interests,$5.57,0.07,1.273%,42894949.00,,,160157,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$0.97,0.00,0.00%,6820655.00,United States,1996,3561,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$7.05,-0.11,-1.536%,44815835.00,,2023,2265,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.48,0.01,0.68%,119403995.00,United States,,56120,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$2.88,0.01,0.348%,509101243.00,Canada,,1393523,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$11.45,0.21,1.868%,28914834.00,United States,1970,2045,Consumer Discretionary,Industrial Machinery/Components
TELL,Tellurian Inc. Common Stock,$1.66,-0.03,-1.775%,934262769.00,United States,,6402541,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$18.16,0.46,2.599%,10220609570.00,United States,,625,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.38,-0.02,-1.429%,398015460.00,Canada,,1098879,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.39,-0.015,-3.704%,76172142.00,Canada,,131875,Basic Materials,Metal Mining
TKAT,Takung Art Co. Ltd. Common Stock,$0.2365,0.044,22.857%,8275581.00,,,24599009,Consumer Discretionary,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.42,-0.035,-2.405%,4323167.00,United States,2015,4820,Health Care,Biotechnology: Pharmaceutical Preparations
TMP,Tompkins Financial Corporation Common Stock,$59.15,-0.04,-0.068%,858791515.00,United States,1997,22945,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.519,0.0109,2.145%,80735294.00,Canada,,43485,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$2.18,0.03,1.395%,70016045.00,United States,,377246,Consumer Discretionary,Movies/Entertainment
TOVX,Theriva Biologics Inc. Common Stock,$0.6562,0.0062,0.954%,9924409.00,United States,,37684,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.711,-0.0259,-3.515%,17650008.00,,2023,154430,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.5187,0.0032,0.621%,19319502.00,,,5352,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$6.35,0.08,1.276%,26013918.00,United States,1998,18315,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.385,-0.013,-3.266%,106765225.00,Canada,,384873,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.4114,0.0106,2.645%,44286106.00,United States,,189546,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.239,0.0025,1.057%,22064809.00,United States,,1561587,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$3.65,0.10,2.817%,1370178975.00,Canada,,5085691,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.27,-0.008,-2.878%,3167950.00,United States,2015,1083707,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.05,-0.01,-0.943%,277963144.00,Canada,,451240,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.367,-0.009,-2.394%,1243660.00,,2017,495671,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$27.16,-0.21,-0.767%,0.00,United States,2004,464956,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.82,-0.16,-5.369%,6522341.00,United States,2003,26940,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.07,0.00,0.00%,948511548.00,Canada,,2208172,,
VFL,abrdn National Municipal Income Fund Common Stock,$9.90,-0.08,-0.802%,0.00,United States,1993,33995,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5098,0.0018,0.354%,61730914.00,United States,1986,174602,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$11.13,0.14,1.274%,112013700.00,,2021,840,Health Care,Biotechnology: Pharmaceutical Preparations
VINE,Fresh Vine Wine Inc. Common Stock,$0.442,-0.01,-2.212%,7017292.00,,2021,528544,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.29,0.07,0.852%,368125906.00,United States,1993,101874,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$1.30,0.00,0.00%,82133788.00,Singapore,2015,44762,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.08,-0.01,-0.917%,224573395.00,,2022,190303,Basic Materials,Precious Metals
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.35,0.00,0.00%,0.00,,2021,48,Finance,Blank Checks
WRN,Western Copper and Gold Corporation Common Stock,$1.45,0.00,0.00%,221643516.00,Canada,2011,181470,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.8358,0.0009,0.108%,42542019.00,United States,,160366,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$1.82,0.03,1.676%,15989821.00,United States,,10745,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.5871,-0.0179,-2.959%,38044886.00,United States,,38744,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.03,-0.02,-1.905%,132763959.00,United States,,113118,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$1.40,0.03,2.19%,3997164.00,United States,2017,10946,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$3.30,0.11,3.448%,,United States,,41780,,
ZDGE,Zedge Inc. Class B Common Stock ,$1.95,-0.01,-0.51%,28154354.00,,2016,36840,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.211,0.005,2.427%,206769380.00,United States,2017,4414953,Health Care,Pharmaceuticals and Biotechnology
